# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1779636469794000000,1779636497342000000,191475
AWTEventQueue.dispatchTimeTotalNS,1779636469794000000,1779636497342000000,3332618304
NonBlockingReadAction.finalizedExecutionsCount,1779636469794000000,1779636497342000000,12
NonBlockingReadAction.failedExecutionsCount,1779636469794000000,1779636497342000000,0
NonBlockingReadAction.failedExecutionTimeUs,1779636469794000000,1779636497342000000,0
cacheStateStorage.set.counter,1779636469794000000,1779636497342000000,8
cacheStateStorage.set.duration,1779636469794000000,1779636497342000000,21
cacheStateStorage.get.counter,1779636469794000000,1779636497342000000,10
cacheStateStorage.get.duration,1779636469794000000,1779636497342000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1779636469794000000,1779636497342000000,419071
parser.VTL.size.bytes,1779636469794000000,1779636497342000000,134
parser.VTL.time.ns,1779636469794000000,1779636497342000000,3884651
writeAction.max.wait.ms,1779636469794000000,1779636497342000000,50
parser.HTML.time.ns,1779636469794000000,1779636497342000000,3125865
DiskQueryRelay.tasksExecuted,1779636469794000000,1779636497342000000,291
lexer.VTL.size.bytes,1779636469794000000,1779636497342000000,134
lexer.HTML.size.bytes,1779636469794000000,1779636497342000000,1
DiskQueryRelay.tasksRequested,1779636469794000000,1779636497342000000,291
writeAction.median.wait.ms,1779636469794000000,1779636497342000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1779636469794000000,1779636497342000000,457270
writeAction.wait.ms,1779636469794000000,1779636497342000000,51
lexer.VTL.time.ns,1779636469794000000,1779636497342000000,1165143
lexer.HTML.time.ns,1779636469794000000,1779636497342000000,231304
parser.HTML.size.bytes,1779636469794000000,1779636497342000000,1
writeAction.count,1779636469794000000,1779636497342000000,12
Indexes.stubs.lookupDurationMaxMs,1779636469794000000,1779636497342000000,0.0
Indexes.entries.lookupDurationAvgMs,1779636469794000000,1779636497342000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1779636469794000000,1779636497342000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1779636469794000000,1779636497342000000,0.0
Indexing.writesQueuedMax,1779636469794000000,1779636497342000000,0
Indexes.allKeys.lookups,1779636469794000000,1779636497342000000,0
Indexes.allKeys.lookupDuration90PMs,1779636469794000000,1779636497342000000,0.0
Indexing.cache.totalCacheEvicted,1779636469794000000,1779636497342000000,0
Indexes.entries.lookups,1779636469794000000,1779636497342000000,1
Indexing.totalTimeIndexersSleptMs,1779636469794000000,1779636497342000000,0
Indexes.stubs.lookupDurationAvgMs,1779636469794000000,1779636497342000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1779636469794000000,1779636497342000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1779636469794000000,1779636497342000000,0
Indexes.stubs.lookupDuration90PMs,1779636469794000000,1779636497342000000,0.0
Indexes.entries.lookupDuration90PMs,1779636469794000000,1779636497342000000,0.0
Indexing.cache.totalCacheMisses,1779636469794000000,1779636497342000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1779636469794000000,1779636497342000000,0
Indexes.entries.lookupDurationMaxMs,1779636469794000000,1779636497342000000,0.0
Indexing.cache.totalCacheAccesses,1779636469794000000,1779636497342000000,0
Indexing.writesQueuedMin,1779636469794000000,1779636497342000000,9223372036854775807
Indexes.stubs.lookups,1779636469794000000,1779636497342000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1779636469794000000,1779636497342000000,0
workspaceModel.global.apply.state.to.project.ms,1779636469794000000,1779636497342000000,0
jps.global.get.library.by.name.ms,1779636469794000000,1779636497342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1779636469794000000,1779636497342000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1779636469794000000,1779636497342000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1779636469794000000,1779636497342000000,0
workspaceModel.load.cache.from.file.ms,1779636469794000000,1779636497342000000,0
jps.app.storage.content.reader.load.component.ms,1779636469794000000,1779636497342000000,0
jps.global.initialize.library.bridges.after.loading.ms,1779636469794000000,1779636497342000000,2
